NO_OF_FRAMES	110875
NO_OF_CAMERAS	9
NO_OF_BODIES	1
FREQUENCY	50
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-11-15, 19:32:43	32687.16175474
DATA_INCLUDED	6D
BODY_NAMES	New Body #1
New Body #1 X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
1004.23544	-621.15079	379.79553	-0.05942	-0.14347	89.85165	0.92477	0.00259	1.00000	-0.00103	-0.99999	0.00259	-0.00251	-0.00250	0.00104	1.00000	
1004.39147	-621.29598	380.33702	-0.07372	-0.13911	89.85513	0.94568	0.00253	1.00000	-0.00128	-0.99999	0.00253	-0.00243	-0.00243	0.00129	1.00000	
1004.48937	-621.42469	380.44821	-0.07367	-0.14599	89.85451	0.95560	0.00254	1.00000	-0.00128	-0.99999	0.00254	-0.00255	-0.00255	0.00129	1.00000	
1012.52058	-617.35892	379.90693	0.00324	-0.23508	89.99202	1.15017	0.00014	1.00000	0.00006	-0.99999	0.00014	-0.00410	-0.00410	-0.00006	0.99999	
1012.90283	-617.29573	380.00719	0.00017	-0.23227	89.99971	1.19097	0.00001	1.00000	0.00000	-0.99999	0.00001	-0.00405	-0.00405	-0.00000	0.99999	
1013.40832	-617.07490	379.71692	0.00717	-0.23154	90.01223	1.19098	-0.00021	1.00000	0.00012	-0.99999	-0.00021	-0.00404	-0.00404	-0.00013	0.99999	
1012.44993	-617.50945	380.13920	-0.00410	-0.22848	89.98908	1.15794	0.00019	1.00000	-0.00007	-0.99999	0.00019	-0.00399	-0.00399	0.00007	0.99999	
1013.22116	-617.32438	380.04234	0.00365	-0.24591	90.00225	1.19129	-0.00004	1.00000	0.00006	-0.99999	-0.00004	-0.00429	-0.00429	-0.00006	0.99999	
1014.03473	-617.03594	379.92496	0.00420	-0.24443	90.02143	1.21243	-0.00037	1.00000	0.00007	-0.99999	-0.00037	-0.00427	-0.00427	-0.00007	0.99999	
1013.92430	-617.10996	380.19181	0.00065	-0.24903	90.01506	1.18504	-0.00026	1.00000	0.00001	-0.99999	-0.00026	-0.00435	-0.00435	-0.00001	0.99999	
