NO_OF_FRAMES	5975
NO_OF_CAMERAS	9
NO_OF_BODIES	1
FREQUENCY	50
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-11-15, 18:29:58	28922.40665050
DATA_INCLUDED	6D
BODY_NAMES	New Body #1
New Body #1 X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
1026.85336	-616.15006	380.92607	-0.08130	0.10282	89.94699	0.85638	0.00093	1.00000	-0.00142	-1.00000	0.00093	0.00179	0.00179	0.00142	1.00000	
1026.40314	-616.16012	380.39219	-0.06835	0.10386	89.93725	0.86182	0.00110	1.00000	-0.00119	-1.00000	0.00110	0.00181	0.00181	0.00119	1.00000	
1025.84925	-616.28042	379.97038	-0.05680	0.09874	89.92361	0.89813	0.00133	1.00000	-0.00099	-1.00000	0.00133	0.00172	0.00172	0.00099	1.00000	
1033.09201	-612.68436	380.29871	0.00243	-0.00314	90.03713	1.25220	-0.00065	1.00000	0.00004	-1.00000	-0.00065	-0.00005	-0.00005	-0.00004	1.00000	
1033.37890	-612.32478	379.49091	0.01943	0.00810	90.04826	1.26311	-0.00084	1.00000	0.00034	-1.00000	-0.00084	0.00014	0.00014	-0.00034	1.00000	
1033.63491	-612.21320	379.25880	0.02644	0.00307	90.05482	1.26554	-0.00096	1.00000	0.00046	-1.00000	-0.00096	0.00005	0.00005	-0.00046	1.00000	
1033.10683	-612.44642	379.71292	0.01846	-0.00162	90.03980	1.25711	-0.00069	1.00000	0.00032	-1.00000	-0.00069	-0.00003	-0.00003	-0.00032	1.00000	
1032.86606	-612.52088	379.64478	0.01545	0.00921	90.03649	1.24204	-0.00064	1.00000	0.00027	-1.00000	-0.00064	0.00016	0.00016	-0.00027	1.00000	
1032.53839	-612.67265	379.81795	0.01382	0.00544	90.02617	1.24538	-0.00046	1.00000	0.00024	-1.00000	-0.00046	0.00009	0.00009	-0.00024	1.00000	
1032.64835	-612.67531	379.94893	0.01347	-0.00138	90.02621	1.23828	-0.00046	1.00000	0.00024	-1.00000	-0.00046	-0.00002	-0.00002	-0.00024	1.00000	
1032.73303	-612.71744	380.15088	0.00942	-0.00192	90.02791	1.23605	-0.00049	1.00000	0.00016	-1.00000	-0.00049	-0.00003	-0.00003	-0.00016	1.00000	
1032.62169	-612.76397	380.32281	0.00570	-0.00150	90.02552	1.23423	-0.00045	1.00000	0.00010	-1.00000	-0.00045	-0.00003	-0.00003	-0.00010	1.00000	
1032.50958	-612.65434	379.80746	0.02096	-0.00394	90.02372	1.24347	-0.00041	1.00000	0.00037	-1.00000	-0.00041	-0.00007	-0.00007	-0.00037	1.00000	
1033.50438	-612.03476	377.46745	0.07348	-0.02657	90.04980	0.78167	-0.00087	1.00000	0.00128	-1.00000	-0.00087	-0.00046	-0.00046	-0.00128	1.00000	
1032.79913	-612.46075	378.26980	0.05182	-0.02276	90.03346	0.75415	-0.00058	1.00000	0.00090	-1.00000	-0.00058	-0.00040	-0.00040	-0.00090	1.00000	
1032.58064	-612.58573	378.32083	0.04836	-0.02663	90.02693	0.73905	-0.00047	1.00000	0.00084	-1.00000	-0.00047	-0.00047	-0.00046	-0.00084	1.00000	
1032.67966	-612.51572	378.11113	0.04949	-0.01829	90.03342	0.70222	-0.00058	1.00000	0.00086	-1.00000	-0.00058	-0.00032	-0.00032	-0.00086	1.00000	
1031.56437	-613.07479	378.87069	0.03323	-0.03186	90.00164	0.67226	-0.00003	1.00000	0.00058	-1.00000	-0.00003	-0.00056	-0.00056	-0.00058	1.00000	
